sf_code,product_type,product_name
ICE13,FRZ,Yawamochi cup (Tsubu-an)
ICE14,FRZ,Ice Azuki Bar
ICE15,FRZ,Ice Soh (Vanilla) 190ml
ICE16,FRZ,Gari Gari kun (Pear flavour) 110ml
ICE17,FRZ,Ice Gari Gari kun (Soda flavour) Multi Pack 7pcs
ICE18,FRZ,Ice Parm Chocolate
ICE19,FRZ,Ice Parm Strawberry White chocolate
ICE20,FRZ,Ice Pino
ICE21,FRZ,Ice Pino choco asorted
ICE22,FRZ,Ice Papico choco coffee
ICE23,FRZ,Ice Papico Multi
ICE24,FRZ,Ice no mi
ICE25,FRZ,Ice Rennyu Milk Bar
ICE26,FRZ,Ice Matcha Green Tea with Red Bean Paste
ICE27,FRZ,Ice Yawamochi Ice (Kyo-Kinako Tsubu-An)
ICE28,FRZ,Ice Super cup Vanilla 200ml
ICE29,FRZ,Ice Super cup Green Tea 200ml
ICE30,FRZ,Ice Super cup Choco Cookie 200ml
ICE31,FRZ,Ice Super cup Mini Vanilla 90ml x 6
ICE32,FRZ,Ice Super cup Mini Cookie Vanilla 90ml x 6
ICE33,FRZ,Ice Tsujiri Macha parfait 175ml
ICE34,FRZ,Ice GOLD Azuki Bar 85ml
ICE35,FRZ,Ice GOLD Milk Kintoki Bar 85ml
ICE36,FRZ,Ice GOLD Matcha Kintoki Bar 85ml
ICE37,FRZ,Giant Cone (Nutty Choc/Choc Cookie/Chocolate)
ICE40,FRZ,COOLISH - Vanilla
ICE45,FRZ,SUNAO Rum Raisin
ICE46,FRZ,ANPAN-MAN (15ml x 3flavour x5pack)
ICE47,FRZ,Ice ICE BOX (Grapefruit) 
ICE48,FRZ,Ice Pino (Grapes & Berries)
ICE49,FRZ,Gari Gari kun (Water melon flavour) 110ml
ICE52,FRZ,Ice Kuri-iri Azuki Monaka 130ml
ICE53,FRZ,Mow Vanilla
ICE58,FRZ,Soft Cone  Vanilla 180ml
ICE59,FRZ,SUNAO Chocolate crunch 120ml
ICE60,FRZ,SUNAO Chocolate Monaka 120ml
ICE60A,FRZ,Ice SUNAO Chocolate Monaka 82ml
ICE61,FRZ,Gari Gari kun(Muscat Flavour)  100ml
ICE62,FRZ,Gari Gari kun(AMAOU Strawberry Flavour)  110ml
ICE63,FRZ,Gari Gari kun(Choco chip Flavour)  110ml
ICE64,FRZ,Ice Parm Green tea Multi 6x55ml
ICE66,FRZ,Ice Choco Mint Bar 83ml
ICE67,FRZ,Ice Mitsu to Yuki (Green tea)150ml
ICE68,FRZ,Ice Yukimi Daifuku (Roasted tea flavour) 2pc 47ml
ICE69,FRZ,Ice Gari Gari kun (YOGHURT FLAVOUR) 110ml
ICE70,FRZ,Ice Gari Gari kun (KYUSHU ORANGE FLAVOUR) 110ml
ICE71,FRZ,Ice COOLISH - Calpis 140ml
ICE72,FRZ,Ice Mitsu to Yuki (Strawberry)150ml
ICE73,FRZ,Ice Tsujiri Macha Cone 36ml x 6
ICE74,FRZ,Ice Tsujiri Okoi Macha 45ml x 7
ICE75,FRZ,Ice Chocolate Sugar Cone -chocolate cone 36ml x 6
ICE76,FRZ,Ice Yawamochi Ice (Melon & Vanilla) 
ICE77,FRZ,Ice Tsujiri Matcha Busse 68ml
ICE78,FRZ,Ice Yukimi Daifuku(Green tea flavour)
ICE79,FRZ,Pino Colourful Assort 
ICE80,FRZ,Pino Green Tea
ICE81,FRZ,Ice Giant Cone (Dark Chocolate) 140ml
ICE82,FRZ,Ice Gari Gari kun (WHITE SOUR FLAVOUR) 110ml
ICE83,FRZ,Ice Gari Gari kun (SPORTS DRINK FLAVOUR) 110ml
ICE84,FRZ,Ice Parm Matcha Cheese Cake 90ml 
ICE85,FRZ,Ice Giant Cone (Rich Chocolate) 140ml
ICE86,FRZ,Ice Gari Gari kun(GRAPE FLAVOUR)  100ml
IMV02,FRZ,Dried Anchovy 50g
IMV03,DRY,Butan Gas 220g
ITM01,FRZ,Frozen Yellowfin Tuna Steak Cut (100g-150g)
ITM02,FRZ,Frozen Yellowfin Tuna Hazai  (10g-100g)
ITM03,FRZ,Frozen Yellowfin Tuna Saku AA
ITM04,FRZ,Frozen Yellowfin Tuna Saku AAA
ITM05,FRZ,Frozen Bigeye Tuna Saku AA
ITM06,FRZ,Frozen Bigeye Tuna Saku AAA
ITM07,FRZ,Frozen Sodeika Saku (200g-500g)
ITM08,FRZ,Frozen Swordfish Belly (Meka Jiki Harami Belly)
ITM09,FRZ,Frozen Sashimi Cuttlefish (300g-500g)
ITM10,FRZ,Frozen Sashimi Cuttlefish (500g-1000g)
ITM11,FRZ,Frozen Sashimi Cuttlefish (1000g-2000g)
ITM12,FRZ,Frozen Sashimi Cuttlefish (2000g-3000g)
ITM13,FRZ,Frozen Bluefin Tuna Saku A (Chutoro)
ITM14,FRZ,Frozen Bluefin Tuna Saku B (Otoro)
ITM15,FRZ,Fresh Yellow Tuna Loin
ITM16,FRZ,Frozen Squid Slice 12g
JET4,DRY,Senkyaku Banrai TF-Q-01 Docket Book
JET5,DRY,Large Restaurant SF-Q-01 Docket Book
JET6,DRY,Takeaway SF-T-02S Docket Book
JET8,DRY,Large Size Restaurant Docket Book SF-T-01
JET8a,DRY,Large Size Restaurant Docket Book SF-T-01
JET9,DRY,Large Size Restaurant Docket Book LR93 replacement of SF-T-01
JF02Fa,FRZ,HAMAMATSU GYOZA 20G/1.2KG(60P)
JF09F,DRY,HAMAMATSU GYOZA 20G 12pack/240G
JF18,DRY,HAMAMATSU GYOZA 30G/1.2KG(40P)
JF22,DRY,Nagai Roasted seaweed 42/100 sheets JFC special price
JF26,FRZ,Nigiri Yasai Kakiage 
JFT06,FRZ,Frozen Sliced Lotus Root 3mm 500g
JFT08a,DRY,Akita Komachi Rice 10kg
JFT19,FRZ,JFT Aji Fry 60g (Breaded Mackerel Fillet)
JNS01Aa,DRY,Black Rice ( Product of Korea)
JP09,FRZ,Frozen Marinated Octopus 1kg (Takowasa) 
JP10,DRY,Uchibori Grain Vinger 20L
JT05,DRY,Paper Napkin (KURA)
JT08A,DRY,Fry Mix (NT2.5)
JT1019,DRY,JAPAICE Organic Yuzu Pepper 40g
JT1021,DRY,Milled Rice(HOKKAIDO NO KOME) 5kg
JT1022,DRY,Milled Rice(TOYAMA UOZU KOSHIHIKARI)  5kg
JT1023,DRY,Milled Rice(TOYAMA UOZU KOSHIHIKARI)  2kg
JT103,DRY,Retort Boiled Noodle 150g
JT1033,DRY,Green Onion Oil
JT1034,DRY,Retort Boiled Noodle 150g　x 90pc
JT1037,DRY,Light brown Sugar (San on to) 30kg
JT1058,DRY,Moukoou Kansui　500g
JT1058A,DRY,Moukoou Kansui　500g
JT1064,DRY,Mintia Aqua Spark 7g
JT1065,DRY,Mintia Calpico 7g
JT1067,DRY,Non Alcoholic Drink Asahi Dry Zero 350ml
JT1079,DRY,Yamashin Soy Sauce -Tokkyu 360ml
JT1087,DRY,Milled Rice (FUKKURINKO) 5kg(HOKKAIDO NO KOME Package)
JT1127,DRY,GoGo no Kocha　Lemon Tea 500ml 
JT1132,DRY,Golden Curry Extra Hot 198g 
JT1158,DRY,Japanese Sticky Rice Kagami Mochi 150g
JT1159,DRY,Japanese Sticky Rice Kagami Mochi 250g
JT1160,DRY,Japanese Sticky Rice Kagami Mochi 350g
JT1168,DRY,Liquid Malted Rice (KOJI)  10L
JT1173,DRY,Kansui Red Carbonate  12kg
JT1174,DRY,Kansui Blue Carbonate  12kg
JT1181,DRY,Glass bin WMK-100TC
JT1182,DRY,Flip top cap 63RTS-Dcap Silver Diamond
JT1183,DRY,Glass bin SSG-100B　
JT1184,DRY,Re-Hcap Black
JT126,DRY,Sanshou 12g (Japanese Pepper)
JT157,DRY,Japanese Lemonade 200ml
JT167,DRY,Rice Container SP-20D Body & Lid
JT221,DRY,Japanese Mustard 43g
JT249,DRY,Plastic Tray Gyoza 10-1A(Lid)
JT250,DRY,Plastic Tray Gyoza 16Kai(Lid)
