sf_code,end_stock_day,product_name,new_balance,unit,bbd,product_type
ITM01,31/12/2019,,78,pc,3/12/2020,FRZ
ITM02,31/12/2019,,18,pc,3/12/2020,FRZ
ITM03,31/12/2019,,197,pc,3/12/2020,FRZ
ITM04,31/12/2019,,85,pc,3/12/2020,FRZ
ITM05,31/12/2019,,26,pc,3/12/2020,FRZ
ITM06,31/12/2019,,67,pc,3/12/2020,FRZ
ITM07,31/12/2019,,184,pc,3/12/2020,FRZ
ITM09,31/12/2019,,80,pc,3/12/2020,FRZ
ITM10,31/12/2019,,14,pc,3/12/2020,FRZ
ITM11,31/12/2019,,3,pc,3/12/2020,FRZ
ITM12,31/12/2019,,2,pc,3/12/2020,FRZ
ITM13,31/12/2019,,15,pc,3/12/2020,FRZ
ITM14,31/12/2019,,11,pc,3/12/2020,FRZ
JET4,31/12/2019,,2.7,ctn,8/07/2016,DRY
JET5,31/12/2019,,8,ctn,31/12/2099,DRY
JET6,31/12/2019,,3,ctn,31/12/2099,DRY
JET8a,31/12/2019,,19,ctn,22/04/2020,DRY
JF02Fa,31/12/2019,,128,ctn,14/10/2020,DRY
JF02Fa,31/12/2019,,15,ctn,14/10/2020,FRZ
JF02Fa,31/12/2019,,128,ctn,3/12/2020,DRY
JF09F,31/12/2019,,30,ctn,3/12/2020,DRY
JF18,31/12/2019,,0.7,ctn,12/10/2019,FRZ
JF18,31/12/2019,,20,ctn,9/07/2020,FRZ
JF18,31/12/2019,,64,ctn,19/08/2020,DRY
JF18,31/12/2019,,6,ctn,19/08/2020,FRZ
JFT08a,31/12/2019,,3,inner bag,5/09/2018,DRY
JT08A,31/12/2019,,1.8,ctn,1/05/2020,DRY
JT1022,31/12/2019,,1,inner bag,3/06/2020,DRY
JT1022,31/12/2019,,23,ctn,2/10/2020,DRY
JT1023,31/12/2019,,4,ctn,16/08/2020,DRY
JT1023,31/12/2019,,10,ctn,2/10/2020,DRY
JT103,31/12/2019,,1,ctn,8/01/2019,DRY
JT103,31/12/2019,,1,ctn,23/09/2019,DRY
JT1087,31/12/2019,,6,ctn,2/10/2020,DRY
JT1132,31/12/2019,,4,ctn,26/11/2020,DRY
JT1168,31/12/2019,,6,ctn,6/04/2020,DRY
JT1173,31/12/2019,,1,ctn,24/09/2020,DRY
